first_name,middle_name,last_name
James,,Acaster
Giorgio,,Agamben
Mizue,,Aizeki
Jim,,Al-Khalili
Refaat,,Alareer
Brandon,,Alvis
Kafui,,Attoh
Nerea,,Barjola
Jérôme,,Baschet
Walter,,Benjamin
Alexander,,Berkman
Vincent,,Bevins
,,Blackburn
William,,Blum
Murray,,Bookchin
Richard,,Brestoff
Stephen,Eric,Bronner
adrienne,maree,brown
Dani,,Burlison
Jordan,T.,Camp
Benedict,,Carey
Stokely,,Carmichael
Breanna,,Champion
Vivek,,Chibber
Noam,,Chomsky
Matt,,Christman
Joseph,,Cohen
Aruna,,D'Souza
Arthur,C.,Danto
Becky,,Dennison
Daniel,,Denvir
Roxanne,,Dunbar-Ortiz
Stephen,,Duncombe
Martín,,Espada
Garrett,,Felber
David,,Feldman
Fridrikh,Igorevich,Firsov
Hal,,Foster
Wallace,,Fowlie
Anne,,Frank
Margaret,Elysia,Garcia
Mustafa,,Gatollari
Richard,,Gilman-Opalsky
Glenda,Elizabeth,Gilmore
Ruth,Wilson,Gilmore
Craig,,Gilmore
Emma,,Goldman
Anand,,Gopal
Gary,,Greenberg
Charles,V.,Hamilton
Cihad,,Hammy
Christina,B.,Hanhardt
Justin,,Hansford
Stephen,W.,Hawking
John,Earl,Haynes
Christina,,Heatherton
Edward,S. ,Herman
Rachel,,Herzing
Benjamin,,Hoff
Regina,,Jackson
Brian,Jordan,Jefferson
Anjali,,Kamat
Alec,,Karakatsanis
Robin,D.G. ,Kelley
Hamid,,Khan
Robin,Wall,Kimmerer
Stephen,,Kinzer
Harvey,,Klehr
Naomi,,Klein
Peter,,Kropotkin
Arun,,Kundnani
Paul,,Lafargue
Marisol,,Lebrón
Vladimir,,Lenin
George,,Lipsitz
Karl,,Marx
Page,,May
Thomas,Jeffrey,Miley
C.,Wright,Mills
Don,,Mitchell
Naomi,,Murakawa
James,,Mustich
Jeanette,,Norden
Mary,Beth,Norton
Steven,,Osuna
Ilan,,Pappé
Paul,,Parsons
Neil,,Pasricha
Rasheedah,,Phillips
Thomas,,Piketty
Vijay,,Prashad
Malik,,Rahim
Ayn,,Ran
"Aziz
",,Rana
Jacques,,Rancière
Asha,Rosa,Ransby-Sporn
Saira,,Rao
Tom,,Rath
Anne,,Rooney
Don Miguel,,Ruiz
Edward,,Said
Alex,,Sanchez
Jeremy,,Scahill
Robert,A.,Segal
Lynn,A.,Staeheli
David,,Stillman
Thomas,J.,Sugrue
David,,Talbot
Jake,,Tapper
John,,Tirman
James,R.,Tracy
Sun,,Tzu
Lucio,,Urtubia
Alex,S.,Vitale
Robin,,Waterfield
Tim,,Weiner
Odd,Arne,Westad
Pete,,White
Raúl,,Zibechi
Howard,,Zinn