title,subtitle,publication_year,read,owned
Means without End,Notes on Politics,2000,FALSE,TRUE
Quantum,A Guide for the Perplexed,2003,FALSE,TRUE
Elements of a Haunting,Connecting History with Science to Uncover the Greatest Ghost Stories Ever Told,2022,FALSE,TRUE
The Zapatista Experience,"Rebellion, Resistance, and Autonomy",2024,FALSE,TRUE
Illuminations,Essays and Reflections,1968,TRUE,TRUE
The Jakarta Method,Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,2020,TRUE,TRUE
The Oxford Dictionary of Philosophy,,,FALSE,TRUE
The Great Acting Teachers and Their Methods,,1995,FALSE,TRUE
Critical Theory,A Very Short Introduction,2017,TRUE,TRUE
How We Learn,"The Surprising Truth About When, Where, and Why It Happens",2014,TRUE,TRUE
Black Power,The Politics of Liberation,1967,FALSE,TRUE
Hegemony or Survival,America’s Quest for Global Dominance,2003,TRUE,TRUE
Notes on Resistance,,2022,FALSE,TRUE
On Anarchism,,2014,FALSE,TRUE
¡No Pasarán!,Matt Christman's Spanish Civil War,2024,FALSE,TRUE
Remarks on art and philosophy,,2014,FALSE,TRUE
Whitewalling,"Art, Race & Protest in 3 Acts",2018,FALSE,TRUE
Cultural Resistance Reader,,2002,FALSE,TRUE
Do penguins have knees?,an imponderables book,2004,FALSE,TRUE
Anne Frank,The Diary of a Young Girl,1993,FALSE,TRUE
The Return of the Real,The Avant-Garde at the End of the Century,1996,FALSE,TRUE
Reading of Proust,,1967,FALSE,TRUE
These United States,A Nation in the Making: 1890 to the Present,2015,TRUE,TRUE
Anarchism and Other Essays,,2025,FALSE,TRUE
No Good Men Among the Living,"America, the Taliban, and the War through Afghan Eyes",2014,FALSE,TRUE
101 Myths of the Bible,How Ancient Scribes Invented Biblical History,2002,FALSE,TRUE
A Brief History of Time,From the Big Bang to Black Holes,1988,TRUE,TRUE
The Tao of Pooh,,1982,FALSE,TRUE
White Women,Everything You Already Know About Your Own Racism and How to Do Better,2022,FALSE,TRUE
Usual Cruelty,The Complicity of Lawyers in the Criminal Injustice System ,2019,TRUE,TRUE
Overthrow,America's Century of Regime Change from Hawaii to Iraq,2006,TRUE,TRUE
The Secret World of American Communism,,1995,FALSE,TRUE
The Shock Doctrine,,2007,TRUE,TRUE
No Logo,,1999,FALSE,TRUE
The Right to Be Lazy,,1883,FALSE,TRUE
The State and Revolution,,1917,TRUE,TRUE
Capital,"A Critique of Political Economy, Volume I: The Process of Production of Capital",1867,FALSE,TRUE
"Power, Politics, & People",The Collected Essays of C. Wright Mills,1963,FALSE,TRUE
"1,000 Books to Read Before You Die",A Life-Changing List,2018,FALSE,TRUE
Understanding the Brain (Vol. 1-3),,2007,FALSE,TRUE
In the Devil’s Snare,The Salem Witchcraft Crisis of 1692,2002,FALSE,TRUE
30-Second Theories,"The 50 Most Thought-Provoking Theories in Science, Each Explained in Half a Minute",2009,FALSE,TRUE
You Are Awesome,"How to Navigate Change, Wrestle with Failure, and Live an Intentional Life",2019,FALSE,TRUE
Dismantling the Master's Clock,"On Race, Space, and Time",2025,FALSE,TRUE
Capital in the Twenty-First Century,,2013,FALSE,TRUE
The Two Faces of American Freedom,,2010,FALSE,TRUE
The Future of the Image,,2019,FALSE,TRUE
Capitalism,The Unknown Ideal,1966,FALSE,TRUE
StrengthsFinder 2.0,,2007,TRUE,TRUE
Rojava in Focus,Critical Dialogues,2025,FALSE,TRUE
The Story of Physics,,2011,FALSE,TRUE
The Four Agreements,,1997,FALSE,TRUE
The ABCs of Capitalism,,2018,TRUE,TRUE
Culture and Imperialism,,1993,FALSE,TRUE
Blackwater,The Rise of the World's Most Powerful Mercenary Army,2007,FALSE,TRUE
Dirty Wars,The World Is A Battlefield,2013,FALSE,TRUE
30-Second Mythology,"The 50 Most Important Greek and Roman Myths, Monsters, Heroes and Gods, Each Explained in Half a Minute",2012,FALSE,TRUE
Gen Z @ work,how the next generation is transforming the workplace,2017,FALSE,TRUE
The Art of War,,5th Century,FALSE,TRUE
The Outpost,An Untold Story of American Valor,2013,FALSE,TRUE
The Deaths of Others,The Fate of Civilians in America's Wars,2011,TRUE,TRUE
A Southern Panther,Conversations with Malik Rahim,2025,FALSE,TRUE
To Rob a Bank Is an Honor,,1981,FALSE,TRUE
The Greek Myths,Stories of the Greek Gods and Heroes Vividly Retold,2011,FALSE,TRUE
The Cold War,A World History,2017,TRUE,TRUE
Constructing Worlds Otherwise,Societies in Movement and Anticolonial Paths in Latin America,2024,FALSE,TRUE
A People's History of the United States,,1980,TRUE,TRUE
The Ecology of Freedom,The Emergence and Dissolution of Hierarchy,1982,TRUE,TRUE
If I Must Die,Poetry and Prose,2024,TRUE,TRUE
The Devil's Chessboard,"Allen Dulles, the CIA, and the Rise of America's Secret Government",2016,FALSE,TRUE
The Conquest of Bread,,1892,FALSE,TRUE
Now and After,The ABC of Communist Anarchism,1929,FALSE,TRUE
Ancestors,A Grievers Novel,2025,FALSE,TRUE
Red Flag Warning,Mutual Aid and Survival in California’s Fire Country,2025,FALSE,TRUE
Toward An Ecological Society,,1980,TRUE,TRUE
James Acaster's Guide to Quitting Social Media,,2022,FALSE,TRUE
Perfect Sound Whatever,,2019,FALSE,TRUE
James Acaster's Classic Scrapes,,2017,FALSE,TRUE
All-American Nativism,How the Bipartisan War on Immigrants Explains Politics as We Know It,2020,FALSE,TRUE
Killing Hope,,1995,FALSE,TRUE
"Imaginary Power, Real Horizons",The Practicality of Utopianism,2024,FALSE,TRUE
Legacy of Ashes,The History of the CIA,2007,FALSE,TRUE
Loving Corrections,,2024,FALSE,TRUE
The Sexist Microphysics of Power,The Alcàsser Case and the Construction of Sexual Terror,2024,FALSE,TRUE
Braiding Sweetgrass,"Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",2013,FALSE,TRUE
On Palestine,,2015,TRUE,TRUE
The Jewish Anarchist Movement in America,A Historical Review and Personal Reminiscences,2024,FALSE,TRUE
An Indigenous Peoples' History of the United States,,2014,TRUE,TRUE
Policing the Planet,Why the Policing Crisis Led to Black Lives Matter,2016,FALSE,TRUE
A Continuous Struggle,The Revolutionary Life of Martin Sostre,2025,FALSE,TRUE
The Washington Connection and Third World Fascism,The Political Economy of Human Rights: Volume I,2014,FALSE,TRUE